,Australia Points,Australia Value,Bahrain Points,Bahrain Value,China Points,China Value,Russia Points,Russia Value,Spain Points,Spain Value,Monaco Points,Monaco Value,Canada Points,Canada Value
 C. Sainz Jr,97,8.00,38,8.03,96,7.54,73,7.54,146,7.40,127,7.74,,7.90
 D. Kvyat,-5,9.50,151,8.51,171,8.92,72,9.38,130,9.05,23,9.11,,8.37
 D. Ricciardo,192,9.50,157,10.19,166,10.48,80,10.74,171,10.34,228,10.57,,11.19
 E. Gutiérrez,11,7.00,17,6.39,82,5.89,63,5.95,113,5.88,105,6.13,,6.29
 F. Alonso,21,8.00,0,7.38,77,7.38,157,7.25,52,7.84,178,7.44,,8.01
 F. Massa,142,10.00,106,10.21,146,10.07,138,10.22,151,10.36,122,10.44,,10.29
 F. Nasr,72,7.50,103,7.36,50,7.48,70,7.13,102,7.01,74,7.06,,6.90
 J. Button,73,8.00,12,7.82,75,7.14,87,7.02,115,7.05,132,7.20,,7.45
 J. Palmer,95,7.00,-5,7.11,50,6.36,86,6.12,94,6.23,2,6.30,,5.68
 K. Magnussen,93,7.00,109,7.09,56,7.29,147,7.00,80,7.54,39,7.38,,6.93
 K. Räikkönen,45,10.00,187,9.38,151,10.00,168,10.19,196,10.58,20,10.97,,10.02
 L Hamilton,207,14.00,197,14.36,176,14.57,198,14.50,50,14.71,338,13.61,,14.74
 M. Ericsson,39,7.50,92,7.08,68,7.14,99,6.96,111,7.10,59,7.21,,6.92
 M. Verstappen,92,8.00,142,7.98,111,8.37,40,8.41,301,7.91,48,9.35,,8.77
 N. Hülkenberg,127,8.00,76,8.28,100,8.09,5,8.07,25,7.31,153,6.76,,7.21
 N. Rosberg,292,13.50,317,14.64,306,15.82,328,16.66,30,17.75,158,16.20,,15.74
 P. Wehrlein,89,7.00,80,7.00,69,7.00,60,7.00,93,7.00,113,7.00,,7.00
 R. Grosjean,177,6.50,152,6.61,62,6.62,132,6.50,65,6.35,105,6.40,,6.59
 R. Haryanto,24,7.00,77,7.81,50,8.30,-5,7.96,91,8.27,99,7.92,,7.90
 R. Haryanto,,6.50,,6.05,,6.09,,5.88,,5.25,,5.40,,5.59
 S. Pérez,76,8.00,69,7.85,84,7.64,92,7.54,131,7.56,203,7.77,,8.49
 S. Vandoorne,,,,7.00,,7.06,,7.06,,7.06,,7.06,,7.06
 S. Vettel,172,11.00,25,11.37,186,10.44,30,10.87,181,10.04,178,10.38,,10.65
 V. Bottas,117,10.00,96,10.00,91,9.80,158,9.54,156,9.91,98,10.07,,9.78